"Gene","N_Patients","Pct_Patients","Silent","Missense","Truncating","Total","Pct_Silent","Pct_Trunc","Trunc_Mis_Ratio","Pattern","Pathway","Function"
"EGFLAM",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"EHBP1",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"ENPEP",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"EPHA3",2,1.5,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"EPHA6",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"ERC2",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"FAM179B",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"FAM83B",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"FANCA",5,3.7,3,1,1,5,60,20,1,"Mixed",NA,NA
"FAT2",5,3.7,1,1,3,5,20,60,3,"Strong LoF Selection",NA,NA
"FEZF1",3,2.2,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"FGFR2",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"FLG2",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"FLNB",4,3,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"FLNC",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"FLRT3",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"FMN2",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"FRYL",4,3,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"FTMT",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"FUBP1",4,3,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"GAB2",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"GABRA2",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"GALNT13",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"GBP1",4,3,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"GLI2",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"GLI3",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"GNAI2",4,3,0,5,0,5,0,0,0,"Hotspot/GoF","GC Exit","G-protein, migration"
"GPC5",3,2.2,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"GPC6",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"GPR123",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"GPR37",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"GRHPR",4,3,0,2,3,5,0,60,1.5,"Strong LoF Selection",NA,NA
"GRID1",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"GZF1",2,1.5,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"HERC2",2,1.5,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"HIST1H2AD",5,3.7,4,1,0,5,80,0,0,"aSHM Passenger",NA,NA
"HIST1H2BG",4,3,3,0,2,5,60,40,2,"LoF Selection",NA,NA
"HIST1H3C",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"HIST1H3J",5,3.7,4,1,0,5,80,0,0,"aSHM Passenger",NA,NA
"HK3",5,3.7,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"HLA-C",5,3.7,0,2,3,5,0,60,1.5,"Strong LoF Selection",NA,NA
"HSPA8",6,4.4,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"HTR1A",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"HTT",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"HYDIN",6,4.4,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"IGSF1",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"IGSF10",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"IKZF3",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"IL13RA2",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"IL4R",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"IRS2",2,1.5,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"ITGA1",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"ITGA8",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"ITGA9",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"ITSN1",4,3,3,1,1,5,60,20,1,"Mixed",NA,NA
"ITSN2",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"JUNB",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"KCNH5",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"KDM3B",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"KIAA1432",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"KIF4A",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"KIT",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"KLHL4",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"KPRP",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"LAMA5",5,3.7,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"LAMB1",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"LAMC3",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"LIG4",3,2.2,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"LIMD2",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"LIPE",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"LPA",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"LRFN2",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"LRRK1",2,1.5,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"MAP4K4",3,2.2,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"MCM3AP",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"MDGA1",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"MDGA2",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"MDN1",5,3.7,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"MEF2C",3,2.2,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"MICAL2",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"MITF",4,3,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"MN1",5,3.7,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"MTMR1",5,3.7,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"MTMR8",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"MTOR",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"MTUS1",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"MUC4",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"MYH3",3,2.2,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"MYH4",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"MYLK",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"MYO16",1,0.7,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"MYO9A",4,3,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"NAP1L3",2,1.5,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"NBAS",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"NBPF1",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"NCKAP5",2,1.5,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"NCOR1",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"NCOR2",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"NDNF",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"NELL2",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"NF1",3,2.2,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"NFKBIE",4,3,0,3,2,5,0,40,0.667,"LoF Selection","NF-kB","IkBe, NF-kB inhibitor"
"NIPBL",4,3,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"NLRP14",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"NMNAT2",5,3.7,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"NOS1",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"NOVA1",3,2.2,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"NR3C2",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"NRXN2",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"OR4C13",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"OR5T2",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"OR8J3",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"OR8U1",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"OSBPL10",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"OSBPL5",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"OXR1",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"PASD1",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"PCDH20",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"PCDHA12",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"PCDHA4",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"PCDHGA12",4,3,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"PCIF1",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"PCNT",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"PDE10A",3,2.2,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"PDS5A",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"PDZRN3",4,3,5,0,0,5,100,0,0,"aSHM Passenger",NA,NA
"PLA2G4A",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"PLCB4",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"PLD1",2,1.5,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"PLXDC2",3,2.2,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"PLXNA1",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"PLXNA2",5,3.7,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"POTEH",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"POU2AF1",5,3.7,0,1,4,5,0,80,4,"Strong LoF Selection",NA,NA
"PTEN",5,3.7,0,2,3,5,0,60,1.5,"Strong LoF Selection","PI3K","PI3K pathway inhibitor"
"PTPN6",4,3,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"PTPRT",5,3.7,4,1,0,5,80,0,0,"aSHM Passenger",NA,NA
"RASA2",4,3,0,0,5,5,0,100,5,"Strong LoF Selection",NA,NA
"RB1CC1",2,1.5,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"RICTOR",4,3,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"RLF",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"RNF128",5,3.7,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"ROS1",3,2.2,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"RP1",5,3.7,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"RREB1",2,1.5,4,1,0,5,80,0,0,"aSHM Passenger",NA,NA
"RTTN",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"SARDH",5,3.7,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"SCN2A",5,3.7,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"SEMA3F",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"SETBP1",3,2.2,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"SF3B1",5,3.7,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"SH3TC2",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"SHROOM2",5,3.7,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"SIN3A",4,3,0,3,2,5,0,40,0.667,"LoF Selection",NA,NA
"SLC44A5",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"SLC7A2",5,3.7,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"SLC9A2",4,3,3,1,1,5,60,20,1,"Mixed",NA,NA
"SNCAIP",5,3.7,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"SORCS2",5,3.7,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"SOX5",2,1.5,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"SOX6",3,2.2,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"SPG20",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"SRRM2",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"STAG2",4,3,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"STAG3",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"STARD8",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"SVIL",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"SYCP2L",4,3,1,2,2,5,20,40,1,"LoF Selection",NA,NA
"TAF1L",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"TAGAP",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"TBC1D32",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"TBC1D8B",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"TDO2",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"THSD4",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"TJP3",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"TMC1",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"TMTC3",3,2.2,3,2,0,5,60,0,0,"aSHM Passenger",NA,NA
"TNFAIP3",5,3.7,0,0,5,5,0,100,5,"Strong LoF Selection","NF-kB","A20, NF-kB negative regulator"
"TNXB",6,4.4,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"TRIML1",4,3,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"TRIP11",4,3,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"TRPC4",3,2.2,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"TTC21B",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"TYRO3",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"UBR4",4,3,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"UGGT2",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"UHRF1BP1L",3,2.2,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"USP9X",5,3.7,1,1,3,5,20,60,3,"Strong LoF Selection",NA,NA
"VPS13A",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"VPS13B",5,3.7,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"VPS13D",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"VWF",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"WBSCR17",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"WEE1",4,3,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"XPO7",6,4.4,2,2,1,5,40,20,0.5,"Mixed",NA,NA
"YTHDC1",2,1.5,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"ZC3H12A",5,3.7,1,1,3,5,20,60,3,"Strong LoF Selection",NA,NA
"ZFYVE16",5,3.7,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"ZNF292",4,3,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"ZNF516",4,3,1,4,0,5,20,0,0,"aSHM Passenger",NA,NA
"ZNF676",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
"ZNF71",3,2.2,2,3,0,5,40,0,0,"aSHM Passenger",NA,NA
"ZNF804A",5,3.7,1,3,1,5,20,20,0.333,"Mixed",NA,NA
"ZNF99",5,3.7,0,4,1,5,0,20,0.25,"Mixed",NA,NA
"ZSWIM2",5,3.7,0,5,0,5,0,0,0,"Hotspot/GoF",NA,NA
